店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
大衆居酒屋 もつ鍋・馬刺し うまる 博多駅筑紫口店,050-5493-8149,,福岡県,福岡市博多区博多駅東,2-10-12,イーストゲートビル2F,,False
朝次郎 天神ビル店,050-5484-2694,,福岡県,福岡市中央区天神,2-12-1,,http://izakaya.yu-raku.co.jp/,False
じとっこ組合 石山店,050-5486-4385,,滋賀県,大津市粟津町,3-2,JR石山駅NKビル1F,,False
四季自然喰処たちばな ヒルトンプラザ イースト店,050-5486-2050,,大阪府,大阪市北区梅田,1-8-16,ヒルトンプラザB2,http://www.tcbn.co.jp/,False
梅の花 大泉学園店,050-5484-5132,,東京都,練馬区東大泉,5-43-1,ゆめりあフェンテ4F,http://www.umenohana.co.jp/,False
旨唐揚げと居酒メシ ミライザカ 日比谷富国生命ビル店,050-5494-7843,,東京都,千代田区内幸町,2-2-2,富国生命ビルB2,https://miraizaka.com/hibiyafukokuseimeibldg,True
すし屋 銀蔵 鶴川店,050-5486-2447,,東京都,町田市能ヶ谷,1-5-1,小田急マルシェ鶴川2 2F,http://www.danke-bros.co.jp/,False
隠れ房 南青山店,050-5484-6491,k-aoyama@bagus-99.com,東京都,港区南青山,5-4-40,A-FLAG骨董通りB1,https://www.dd-holdings.jp/shops/kakurebo/minamiaoyama,True
目利きの銀次 中野坂上駅前店,03-3374-5188,,東京都,中野区本町,2-46-4,1F,https://www.monteroza.co.jp/shop.html?shop=855088,True
伊勢海老＆十勝牛 完全個室居酒屋 雅邸 新橋店,050-5488-3246,,東京都,港区新橋,3-23-1,6F,,False
北の味紀行と地酒 北海道 新宿西口店,050-5485-3634,,東京都,新宿区西新宿,1-10-2,110ビル9F,http://www.colowide.co.jp/higashi/,False
個室居酒屋 八吉 八重洲仲通り本店,03-3272-8816,info@ichirokudo.com,東京都,中央区日本橋,3-4-1,第二弥生ビル,http://www.ichirokudo.com/,False
道とん堀 八戸沼館店,050-5489-1386,,青森県,八戸市沼館,4-7-101,,,False
